Country,Continent,Adult literacy rate (%),Gross national income per capita (PPP international $),Population (in thousands) total,Population median age (years),Community and traditional health workers density (per 10 000 population),General government expenditure on health as percentage of total expenditure on health,General government expenditure on health as percentage of total government expenditure,F2012,M2012,TeamSize,Gold,Silver,Bronze
Sierra Leone,3,34.8,610,5743,5,7.8,5,136,1,1,2,0,0,0
Singapore,6,92.5,43300,4382,13,5.4,1190,0,15,8,23,0,0,2
Slovakia,2,69.9,17060,5388,16,13.8,2441,0,20,26,46,0,1,3
Slovenia,2,99.7,23970,2001,21,13.5,1198,0,40,28,68,1,1,2
Solomon Islands,6,69.9,1850,484,5,12.6,26,0,2,2,4,0,0,0
Somalia,3,69.9,5955,8445,4,4.2,15,0,1,1,2,0,0,0
South Africa,3,82.4,8900,48282,7,9.9,5995,2529,64,69,133,3,2,1
Spain,2,97.2,28200,43887,22,15.3,23300,0,114,175,289,3,10,4
Sri Lanka,7,90.7,3730,19207,10,8.3,1245,1541,3,4,7,0,0,0
Sudan,3,60.9,1780,37707,6,6.3,944,2897,2,4,6,0,0,0
Suriname,5,89.6,7720,455,9,8,4,0,2,3,5,0,0,0
Swaziland,3,79.6,4700,1134,5,9.4,32,110,1,2,3,0,0,0
Sweden,2,69.9,34310,9078,24,13.4,7270,0,84,56,140,1,4,3
Switzerland,2,69.9,40840,7455,21,19.6,3847,0,30,76,106,2,2,0
Syria,1,80.8,4110,19408,5,5.9,2306,0,4,6,10,0,0,0
Taiwan,6,69.9,5955,6810,8,10.9,850,0,25,19,44,0,1,1
Tajikistan,2,99.5,1560,6640,5,5.5,1003,0,3,13,16,0,0,1
Tanzania,3,69.4,980,39459,5,13.3,267,1831,2,5,7,0,0,0
Thailand,6,92.6,7440,63444,12,11.3,10459,2151,18,19,37,0,2,1
Timor-Leste,6,69.9,5100,1114,5,16.4,45,22,,,,,,
Togo,3,53.2,770,6410,5,6.9,19,289,2,4,6,0,0,0
Tonga,6,98.9,5470,100,9,11.1,10,0,1,2,3,0,0,0
Trinidad and Tobago,5,98.5,16800,1328,10,6.9,107,0,10,21,31,1,0,3
Tunisia,1,74.3,6490,10215,9,6.5,2452,890,20,64,84,1,1,1
Turkey,2,87.4,8410,73922,8,16.5,23798,0,66,48,114,2,2,1
Turkmenistan,2,98.8,3990,4899,6,14.9,703,0,3,7,10,0,0,0
Tuvalu,6,69.9,5955,10,8,16.1,2,0,1,2,3,0,0,0
Uganda,3,68.1,880,29899,4,10,363,1042,5,11,16,1,0,0
Ukraine,2,99.4,6110,46557,21,8.8,19169,0,115,121,236,6,5,9
United Arab Emirates,1,88.5,31190,4248,2,8.7,850,0,2,28,30,0,0,0
United Kingdom,2,69.9,33650,60512,22,16.5,58729,14439,269,287,556,29,17,19
United States of America,4,69.9,44070,302841,17,19.1,463663,0,271,260,531,46,29,29
Uruguay,5,96.8,9940,3331,18,9.2,3936,0,3,30,33,0,0,0
Uzbekistan,2,69.9,2190,26981,6,8,5194,0,18,36,54,1,0,3
Vanuatu,6,75.5,3480,221,5,10.9,850,0,2,3,5,0,0,0
Venezuela,5,93,10970,27191,8,9.3,13680,0,27,42,69,1,0,0
Vietnam,6,90.3,2310,86206,8,6.8,850,0,12,6,18,0,0,0
West Bank and Gaza,1,69.9,5955,6810,8,10.9,850,0,,,,,,
Yemen,1,54.1,2090,21732,4,5.6,850,792,1,3,4,0,0,0
Zambia,3,68,1140,11696,5,10.8,491,1027,2,5,7,0,0,0
Zimbabwe,3,89.5,5955,13228,5,8.9,310,1803,3,4,7,0,0,0
